,code,Detailed List Numbers,Cause
552,E59,,"Remainder of endocrine, nutritional and metabolic diseases"
553,E60,,"Remainder of endocrine, nutritional and metabolic diseases"
554,E61,,"Remainder of endocrine, nutritional and metabolic diseases"
555,E62,,"Remainder of endocrine, nutritional and metabolic diseases"
556,E63,,"Remainder of endocrine, nutritional and metabolic diseases"
557,E64,,"Remainder of endocrine, nutritional and metabolic diseases"
558,E65,,"Remainder of endocrine, nutritional and metabolic diseases"
559,E66,,"Remainder of endocrine, nutritional and metabolic diseases"
560,E67,,"Remainder of endocrine, nutritional and metabolic diseases"
561,E68,,"Remainder of endocrine, nutritional and metabolic diseases"
562,E69,,"Remainder of endocrine, nutritional and metabolic diseases"
563,E70,,"Remainder of endocrine, nutritional and metabolic diseases"
564,E71,,"Remainder of endocrine, nutritional and metabolic diseases"
565,E72,,"Remainder of endocrine, nutritional and metabolic diseases"
566,E73,,"Remainder of endocrine, nutritional and metabolic diseases"
567,E74,,"Remainder of endocrine, nutritional and metabolic diseases"
568,E75,,"Remainder of endocrine, nutritional and metabolic diseases"
569,E76,,"Remainder of endocrine, nutritional and metabolic diseases"
570,E77,,"Remainder of endocrine, nutritional and metabolic diseases"
571,E78,,"Remainder of endocrine, nutritional and metabolic diseases"
